Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,6879,0,89,1066.5673305713017,39.38370000000191,19654.5421,10272.112807094054,5.730919347373306,0.0,89,110,130,160,3000,9700,12000,13000,17000,20000,20000
GET,/cart,17431,0,91,170.85775277953155,36.00439999996752,9622.8481,13820.033044575755,14.521828048272148,0.0,91,100,110,120,150,190,2000,3000,6500,9000,9600
POST,/cart,17789,0,130.0,253.9898033391433,66.08260000001565,12024.0578,18018.404407217942,14.820079120573302,0.0,130,140,160,160,200,260,3300,4600,7900,12000,12000
POST,/cart/checkout,6006,0,120.0,184.2032240592753,59.348400000089896,4984.553799999997,6561.81068931069,5.003619944806524,0.0,120,130,140,150,180,230,1700,2600,3800,5000,5000
GET,/product/0PUK6V6EV0,8453,0,76,187.83053417721575,35.63680000002023,10494.9308,7733.426712409795,7.042224341233691,0.0,76,86,94,100,120,170,2700,3600,8000,10000,10000
GET,/product/1YMWWN1N4O,8407,0,76,189.6343098608307,40.37859999999682,10084.6242,7754.339716902581,7.003901577753655,0.0,76,85,93,100,120,180,2800,3700,8000,10000,10000
GET,/product/2ZYFJ3GM2N,8568,0,76,172.5929951097104,40.731299999976045,12099.805699999997,7752.187908496732,7.138031249933783,0.0,76,85,93,99,120,170,2400,3400,7900,12000,12000
GET,/product/66VCHSJNUP,8558,0,76,174.995479294229,40.06709999998748,10315.9897,7719.544636597336,7.129700214394644,0.0,76,85,93,99,120,170,2600,3500,7800,10000,10000
GET,/product/6E92ZMYYFZ,8349,0,76,174.53834002874643,38.352900000006684,9902.345399999998,7709.361360641993,6.955581571626651,0.0,76,85,93,100,120,160,2500,3400,7900,9900,9900
GET,/product/9SIQT8TOJO,8382,0,76,188.78208101885107,39.14930000000538,11687.9107,7758.986638033882,6.983073988905808,0.0,76,85,93,100,120,170,2700,3500,8300,12000,12000
GET,/product/L9ECAV7KIM,8560,0,76,173.0787173831757,41.452899999967485,8810.186099999999,7726.656892523364,7.131366421502472,0.0,76,85,93,99,120,170,2500,3400,6800,8800,8800
GET,/product/LS4PSXUNUM,8352,0,76,171.7565737308414,39.43549999999618,9539.8989,7724.454861111111,6.958080882288393,0.0,76,85,93,100,120,170,2500,3400,7100,9500,9500
GET,/product/OLJCESPC7Z,8455,0,76,179.59530056771044,39.03430000002572,10669.984400000001,7757.698048492017,7.043890548341519,0.0,76,85,93,99,120,170,2500,3400,8600,11000,11000
POST,/setCurrency,11728,0,100.0,223.47311250852906,51.26289999999756,14527.3584,10283.37704638472,9.770638480301518,0.0,100,110,120,130,170,270,2900,3900,10000,15000,15000
,Aggregated,135917,0,88,236.8584520825209,35.63680000002023,19654.5421,10159.107300779153,113.23293573730741,0.0,88,100,120,130,160,230,3000,4200,12000,16000,20000
