Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4369,126,4500.0,4768.975696429398,6.575499999939893,18366.1541,9968.827649347677,3.6393859384397853,0.10495825778059349,4500,5800,6800,7400,8800,9600,10000,11000,13000,18000,18000
GET,/cart,9849,370,3400.0,3639.2397223880607,6.790800000004538,15421.662900000001,12811.749923850137,8.204237149849725,0.3082107569747587,3400,4400,5000,5500,6600,7500,8700,9500,12000,15000,15000
POST,/cart,9837,573,5000.0,5166.343590800051,6.356500000038068,16578.07129999992,16838.91847107858,8.194241125299191,0.4773101722879371,5000,6400,7400,7900,9400,11000,12000,13000,15000,17000,17000
POST,/cart/checkout,3259,237,2600.0,2770.3866984964707,6.950299999971321,9614.173100000016,6086.465480208653,2.7147536675155095,0.1974214848730211,2600,3400,4100,4400,5200,6000,6800,7300,9100,9600,9600
GET,/product/0PUK6V6EV0,4749,188,3400.0,3464.5026001473975,6.507100000021637,11658.484499999986,7359.239839966309,3.9559267158733213,0.15660438462501253,3400,4300,4900,5300,6200,6800,7800,8200,10000,12000,12000
GET,/product/1YMWWN1N4O,4729,198,3400.0,3454.30987384225,7.406899999978123,12524.4457,7354.495030661874,3.9392666749557668,0.1649344050837898,3400,4300,4900,5200,6200,6900,7700,8200,9400,13000,13000
GET,/product/2ZYFJ3GM2N,4798,180,3400.0,3508.2585730304413,6.920700000009106,10512.705600000005,7393.621092121717,3.99674381612133,0.1499403682579907,3400,4300,4900,5300,6200,6900,7800,8300,9700,11000,11000
GET,/product/66VCHSJNUP,4906,165,3500.0,3508.1164650428027,6.745199999954821,10422.853900000064,7389.77293110477,4.086708037076124,0.13744533756982483,3500,4400,4900,5200,6200,6900,7800,8300,9900,10000,10000
GET,/product/6E92ZMYYFZ,4825,184,3400.0,3500.4767816994777,6.628100000000359,10796.630999999934,7339.859896373057,4.0192348713600285,0.1532723764415016,3400,4300,4900,5300,6200,6900,7700,8300,9700,11000,11000
GET,/product/9SIQT8TOJO,4821,161,3400.0,3510.5562263638317,6.889099999966675,10951.719400000002,7430.018046048538,4.0159028631765175,0.1341133293863139,3400,4300,4900,5300,6300,7000,7800,8400,11000,11000,11000
GET,/product/L9ECAV7KIM,4726,202,3400.0,3468.7860882141354,6.650900000011006,10678.535300000021,7321.016927634363,3.936767668818134,0.16826641326730069,3400,4300,4900,5200,6200,7000,7900,8400,9700,11000,11000
GET,/product/LS4PSXUNUM,4752,197,3400.0,3488.533108922566,6.953299999963747,12123.46320000006,7334.876473063973,3.9584257220109547,0.16410140303791204,3400,4300,5000,5300,6200,6900,7700,8200,10000,12000,12000
GET,/product/OLJCESPC7Z,4848,187,3500.0,3530.173194245045,7.303699999965829,9923.10120000002,7382.035478547855,4.038393918415216,0.15577138257913478,3500,4300,4900,5300,6200,7000,7800,8300,9600,9900,9900
POST,/setCurrency,6681,309,4100.0,4349.194201152533,7.347099999947204,15440.441299999975,9807.877712917229,5.5652866685090885,0.25739763217621736,4100,5400,6200,6700,8000,9000,10000,11000,13000,15000,15000
,Aggregated,77149,3277,3600.0,3840.8374415494723,6.356500000038068,18366.1541,9574.695213158951,64.26527483742069,2.7297477043413085,3600,4600,5300,5800,7000,8100,9500,11000,13000,15000,18000
