Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,419,0,350.0,760.2100379474933,20.780799999954525,2323.4412,8688.0,0.3488135041071899,0.0,350,1200,1300,1300,1700,2000,2000,2000,2300,2300,2300
GET,/basket.html,39204,0,53,78.86506425109658,10.118699999992486,1904.0889000000013,23020.0,32.63695612176199,0.0,53,67,75,80,96,120,780,990,1500,1800,1900
DELETE,/cart,39185,0,75,119.52918183743817,21.14590000002181,2693.6229000000367,0.0,32.62113880295999,0.0,75,95,110,120,160,220,1000,1300,2000,2600,2700
POST,/cart,39208,6489,180.0,282.59598657671575,41.507400000000416,4282.982,10.592124056315038,32.64028608361504,5.402030616113497,180,240,290,320,450,670,2000,2500,4000,4300,4300
GET,/category.html,39229,0,35,69.1468196844163,9.878899999989699,1874.8869,11518.0,32.65776838334356,0.0,35,61,66,68,77,98,750,980,1400,1600,1900
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,4847,0,33,66.79363583659955,10.32479999997804,1780.1835999999992,10364.0,4.035081275435679,0.0,33,61,65,68,76,95,700,920,1700,1800,1800
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,4886,0,33,65.33334510847419,10.564100000010512,1645.2638999999997,10364.0,4.0675484035029355,0.0,33,60,65,68,77,92,620,920,1500,1600,1600
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,4872,0,33,70.51455531609092,9.867500000154905,1880.9386000000004,10364.0,4.055893537017253,0.0,33,60,65,68,78,98,790,980,1600,1900,1900
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,4946,0,34,67.1477052567736,9.96709999998302,1734.1657000000002,10364.0,4.1174978312987145,0.0,34,61,65,68,76,96,710,960,1600,1700,1700
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,4993,0,33,64.389948888444,9.786600000040835,1881.3309,10364.0,4.156624883072074,0.0,33,60,65,68,76,93,610,890,1600,1900,1900
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,4821,0,34,70.62922870773633,10.599700000000212,2400.0589000000004,10364.0,4.013436523390841,0.0,34,61,65,68,78,100,750,950,1600,2400,2400
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,4902,0,33,71.09517311301518,9.48569999997062,1754.0940999999996,10364.0,4.080868250915143,0.0,33,60,65,68,77,100,780,970,1600,1800,1800
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,4958,0,33,71.12392146026747,9.945500000185348,1823.2794000000006,10364.0,4.12748771685787,0.0,33,61,65,68,77,98,770,970,1800,1800,1800
GET,/login,39234,0,100.0,178.64481440332375,33.81319999999732,4879.764199999997,13.0,32.661930835659874,0.0,100,120,130,140,170,210,2000,2500,4300,4500,4900
POST,/orders,39193,4585,150.0,281.48157005332706,49.86719999999423,10910.126199999999,637.4116041129794,32.62779872666609,3.8169687740607774,150,180,200,210,260,360,2900,3600,9300,10000,11000
,Aggregated,274897,11074,78,155.00175424977382,9.48569999997062,10910.126199999999,6512.953160638348,228.84913087960425,9.218999390174274,78,110,140,160,230,380,1100,2000,4400,9600,11000
