Method,Name,Error,Occurrences
DELETE,/cart,HTTPError('503 Server Error: Service Unavailable for url: /cart'),2363
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,HTTPError('503 Server Error: Service Unavailable for url: /detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b'),257
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,HTTPError('503 Server Error: Service Unavailable for url: /detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac'),245
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,HTTPError('503 Server Error: Service Unavailable for url: /detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246'),256
POST,/cart,HTTPError('500 Server Error: Internal Server Error for url: /cart'),1320
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,HTTPError('503 Server Error: Service Unavailable for url: /detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d'),266
POST,/orders,HTTPError('406 Client Error: Not Acceptable for url: /orders'),235
POST,/cart,HTTPError('503 Server Error: Service Unavailable for url: /cart'),2062
GET,/category.html,HTTPError('503 Server Error: Service Unavailable for url: /category.html'),1968
GET,/basket.html,HTTPError('503 Server Error: Service Unavailable for url: /basket.html'),2167
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,HTTPError('503 Server Error: Service Unavailable for url: /detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b'),252
POST,/orders,HTTPError('503 Server Error: Service Unavailable for url: /orders'),2217
GET,/,HTTPError('503 Server Error: Service Unavailable for url: /'),6
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,HTTPError('503 Server Error: Service Unavailable for url: /detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e'),273
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,HTTPError('503 Server Error: Service Unavailable for url: /detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38'),254
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,HTTPError('503 Server Error: Service Unavailable for url: /detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e'),228
GET,/login,HTTPError('503 Server Error: Service Unavailable for url: /login'),1830
