Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,419,6,930.0,997.6987293556085,39.481300000034025,2326.5283000000004,8563.861575178998,0.3490836489285845,0.0049988112018413055,930,1200,1500,1600,1700,2000,2200,2200,2300,2300,2300
GET,/basket.html,18509,2167,640.0,632.6019506672424,10.683699999958662,1998.4987999999983,20327.08482359933,15.420499422480122,1.8054039790650183,640,810,900,970,1100,1200,1400,1500,1800,2000,2000
DELETE,/cart,18406,2363,1000.0,944.8588509453538,6.47839999999178,4299.689599999965,2.4392589373030535,15.334686496848512,1.9686984783251675,1000,1200,1400,1500,1700,1800,1900,2000,2300,3900,4300
POST,/cart,18527,3382,1700.0,1665.4009950180728,6.359999999972388,6566.872900000021,6.674475090408593,15.435495856085645,2.8176632474378827,1700,2200,2400,2600,2900,3200,3400,3700,5300,6600,6600
GET,/category.html,18595,1968,610.0,600.8343129282073,6.098500000007334,2000.0761999999997,10301.004463565474,15.492149049706512,1.6396100742039483,610,760,850,910,1000,1200,1300,1400,1600,2000,2000
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,2349,252,600.0,592.4069786292042,6.395999999995183,1985.5084000000716,9254.191570881227,1.957034585520871,0.20995007047733483,600,760,850,910,1100,1200,1300,1400,1700,2000,2000
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,2354,266,590.0,591.9283871707742,6.9353000000091924,1773.3487000000423,9195.023789294817,1.9612002615224056,0.22161396328163122,590,760,850,910,1100,1200,1300,1400,1600,1800,1800
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,2250,254,590.0,596.9559844888898,6.836399999997411,1948.1093999999998,9196.164444444445,1.8745542006904896,0.21161634087794862,590,780,860,910,1100,1200,1300,1500,1800,1900,1900
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,2356,257,590.0,589.488295967744,6.446799999935138,1848.011100000008,9235.534380305602,1.9628665319230194,0.21411574647886925,590,760,860,920,1100,1200,1300,1400,1600,1800,1800
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,2414,245,590.0,601.2757666528587,7.007000000044172,2076.7523,9314.072493786247,2.0111883735408185,0.20411812407518665,590,760,850,900,1100,1200,1300,1500,1700,2100,2100
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,2358,273,590.0,585.6450175572518,6.215500000052998,1651.7344000000005,9166.296437659033,1.964532802323633,0.2274459096837794,590,760,850,910,1000,1200,1300,1400,1600,1700,1700
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,2248,256,580.0,583.6952765569397,6.168199999933677,1994.1373999999996,9185.921708185053,1.8728879302898758,0.21328261127856238,580,750,840,900,1000,1200,1300,1500,1900,2000,2000
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,2252,228,600.0,609.8308846802826,6.906200000003082,1649.6417999999267,9316.637655417408,1.8762204710911035,0.1899548256699696,600,780,880,920,1100,1200,1300,1400,1600,1600,1600
GET,/login,18613,1830,1700.0,1663.1848968462937,6.53090000002976,4567.824299999984,13.589910277762854,15.507145483312037,1.5246374165615981,1700,2100,2400,2500,2800,3000,3400,3600,4200,4400,4600
POST,/orders,18442,2452,2400.0,2306.531027356039,6.205000000022665,8507.755500000001,581.4626396269385,15.36467936405956,2.0428475111524804,2400,3000,3400,3600,4000,4300,4800,5200,7400,8200,8500
,Aggregated,130092,16199,920.0,1199.7210193616868,6.098500000007334,8507.755500000001,5796.490760384959,108.38422447832319,13.495957109771219,920,1300,1700,2000,2700,3200,3900,4200,5700,7600,8500
